YESIL_ALAN_TURU;ILCE;MAHALLE;ADRES;PARK_ADI;YESIL_ALAN_MIKTARI;KONDISYON_TAKIMI;OYUN_GRUBU
Park;Konak;ALSANCAK;LİMAN CADDESİ;Alsancak Asteğmen Besim Bey Parkı;5457;;
Park;Konak;YEŞİLTEPE;MİTHATPAŞA CADDESİ;Bahri Baba Parkı;6024;;
Park;Konak;EGE;1517 SOKAK;Ege Mahallesi Parkı  (Ege Mahallesi Muhtarlığı Yanı);800;;1
Park;Konak;GÜZELYALI;MUSTAFA KEMAL SAHİL BULVARI;Mustafa Kemal Sahil Bulvarı Kara Tarafı;42500;1;1
Park;Konak;SELÇUK;EŞREFPAŞA CADDESİ;Cici Park;17435;1;1
Park;Konak;MEHMET ALİ AKMAN;İNÖNÜ CADDESİ;Güzelyalı I. Çiçek Parkı;2200;;
Park;Konak;MURAT REİS;188 SOKAK;Mehmet Yüce Sonkurt Parkı;10215;1;1
Park;Konak;NAMIK KEMAL;421 SOKAK;Mustafa Gülüm Parkı;325;;1
Park;Konak;KADİFEKALE;998 SOKAK;Kadifekale Cami Yanı Park;90;;
Park;Konak;ALSANCAK;ENVER DÜNDAR BAŞAR SOK. NO:12;Alsancak Kıbrıs Şehitleri Parkı;628;;1
Park;Konak;GÖZTEPE;MİTHATPAŞA CADDESİ;Susuzdede Parkı;35700;1;1
Park;Konak;GÖZTEPE;İNÖNÜ CADDESİ 88 SOKAK;Konak Kadınlar Birliği Parkı (İnönü Cd.-88.Sk);1500;1;1
Park;Konak;ATİLLA;EŞREFPAŞA CADDESİ;Yeni Bayramyeri Park;4536;;1
Park;Konak;ZAFERTEPE;YEŞİLLİK CADDESİ;Yağhaneler Havuzlu Park (Şelale Parkı);4346;;
Park;Konak;YEŞİLTEPE;MİTHATPAŞA CADDESİ;Şelaleli Park (Sabancı Kültür Merkezi Karşısı);1500;;
Park;Konak;KAHRAMANLAR;İŞÇİLER CADDESİ;Kahramanlar Fayton Park (İzelman A.Ş. Yanı);1400;;
Park;Konak;ALİ REİS;969 SOKAK  NO:  12/B;Agora Parkı (İkiçeşmelik);2550;;1
Park;Konak;ALSANCAK;ALİ ÇETİNKAYA BULVARI;Alsancak Zübeyde Hanım Parkı;150;;
Park;Konak;MEHMET ALİ AKMAN;MUSTAFA KEMAL SAHİL BULVARI;Tarık Zafer Tunaya Parkı;2500;;
Park;Konak;BARBAROS;MUSTAFA KEMAL SAHİL BULVARI;Zeynep Aslı;2500;;
Park;Konak;;;Zeynep Aslı;5333;1;1
Yeşil Alan;Konak;;;Göztepe Kafeler Önü;45575;;1
Park;Konak;;;Deniz Atı;4210;1;
Park;Konak;;;Tarık Zafer Tunaya Parkı;3987;1;
Park;Karabağlar;BASIN SİTESİ;173/5 SOKAK;Hasan Tahsin Parkı;15008;;1
Park;Karabağlar;LİMONTEPE;9700 SOKAK;Limontepe-1  Parkı (Cemevi Yanı);3439;;1
Park;Karabağlar;ESENYALI;52/72 SOKAK;Karabağlar Özdemir Sabancı Parkı (İnönü Cd. Hıfzısıhha Eski Metro Şantiye Alanı-52/72 Sk.);1133;;
Park;Karabağlar;LİMONTEPE;9710 SOKAK;Limontepe-2  Parkı  (Camii Yanı);2000;1;1
Park;Karabağlar;MALİYECİLER;52/124 SOKAK;Maliyeciler Parkı;4364;1;1
Park;Karabağlar;REFET BELE;9139 SOKAK;Manolya Parkı;6150;1;1
Park;Karabağlar;ESENTEPE;46/25 SOKAK;Mimkent Parkı;8538;1;1
Park;Karabağlar;KAZIM KARABEKİR;9184 SOKAK;Nevzat Ayaz Parkı;6990;1;1
Park;Karabağlar;VATAN;9089/1 SOKAK;Şehit Erkan Özcan Lisesi Önü Parkı;3727;1;1
Park;Karabağlar;VATAN;9173 SOKAK;Vatan Mahallesi Parkı;3455;;1
Park;Karabağlar;KARABAĞLAR;5783 SOKAK;Uğur Mumcu Parkı  (Karabağlar Mh. 5783 Sk);2956;1;1
Park;Karabağlar;AYDIN;4271 SOKAK (PAŞA KÖPRÜSÜ MEZARLIĞI);Paşaköprü Parkı;810;;
Park;Karabağlar;PEKER;5138 SOKAK;Peker Mahallesi Parkı;22782;;1
Park;Karabağlar;SEVGİ;4640 SOKAK;Sevgi Mahallesi Parkı;41386;1;1
Park;Karabağlar;SELVİLİ;4019/10 SOKAK;Selvili Parkı;1275;;1
Park;Karabağlar;YUNUS EMRE;4256 SOKAK;Yunus Emre Parkı;4496;;1
Park;Karabağlar;YAŞAR KEMAL;6002 SOKAK;Uzundere TOKİ Konutları 1;63137;;
Park;Karabağlar;YAŞAR KEMAL;6003 SOKAK;Uzundere TOKİ Konutları 2;63137;;
Park;Karabağlar;YAŞAR KEMAL;6004 SOKAK;Uzundere TOKİ Konutları 3;63137;;
Park;Karabağlar;UZUNDERE;3959/1 SOKAK;Uzundere 3959/1 Sokak Parkı;6821;;1
Park;Karabağlar;YURTOĞLU;3946 SOKAK;Yurtoğlu Mahallesi Parkı;50609;1;1
Park;Balçova;BAHÇELERARASI;MİTHATPAŞA CADDESİ;Akın Akın Parkı;6069;;1
Park;Balçova;İNCİRALTI;MİTHATPAŞA CADDESİ;Balçova Cumhuriyet Parkı;9500;1;1
Park;Balçova;KORUTÜRK;SAKARYA CADDESİ;Balçova Sakarya Parkı;25000;;1
Park;Balçova;EĞİTİM;MİTHATPAŞA CADDESİ ( BALÇOVA VİYADÜĞÜ ALTI );İkiztepeler Parkı;4745;;1
Park;Balçova;ÇETİN EMEÇ;OLİMPİYAT EVLERİ;Olimpiyat Evleri;12000;1;1
Park;Buca;ATATÜRK;202/5 SOKAK;Buca Atatürk Mahallesi 202/5 Sok. Parkı;864;1;1
Park;Buca;ÇAMLIKULE;220/27 SOKAK;Aşık Mahsuni Şerif Parkı (Çamlıkule Mh);1845;;1
Park;Buca;BUCA KOOP;1401 SOKAK;Aykent Parkı (1401 Sokak);3146;1;1
Park;Buca;YAYLACIK;1025 SOKAK;Bahçekapı Parkı;20283;1;1
Park;Buca;İNKILAP;133 SOKAK;Beyazıt Aykut Parkı;2083;;
Park;Buca;ATATÜRK;63/3 SOKAK;Buca 63/3 Sokak Parkı;331;;
Park;Buca;MUSTAFA KEMAL;686/27 SOKAK;Buca 686/27 Sokak Parkı  (Mustafa Kemal Mah.);911;1;1
Park;Buca;ADATEPE;2/1 SOKAK;Buca Adatepe 2/1 Sokak Parkı;990;1;1
Park;Buca;ÇAMLIPINAR;254 SOKAK;Buca Çamlıpınar Mahallesi  (254 Sokak Parkı);537;1;1
Park;Buca;BUCA KOOP;1409 SOKAK;Buca Koop Parkı;6415;1;1
Park;Buca;BUCA KOOP;242/34 SOKAK;Buca Koop Parkı-1;2242;;1
Park;Buca;BUCA KOOP;1409 SOKAK;Buca Koop Parkı-2;3514;1;1
Park;Buca;KURUÇEŞME;1133 SOKAK;Buca Kuruçeşme Parkı-1;1529;;1
Park;Buca;KURUÇEŞME;205/8 SOKAK;Buca Kuruçeşme Parkı-2;7000;;1
Park;Buca;YEŞİLBAĞLAR;637/16;Buca Yeşilbağlar Parkı  (637/16 Sk Parkı);1132;;1
Park;Buca;ÇAMLIKULE;220/60 SOKAK;Eski Çamlıkule Parkı  (220/60 Sk);1363;;1
Park;Buca;ÇAMLIKULE;242/28 SOKAK;Yeni Çamlıkule Parkı  (242/28 Sk);3160;;1
Park;Buca;FIRAT;286 SOKAK;Fırat Mahallesi Parkı (Eski);1144;1;1
Park;Buca;FIRAT;288/5 SOKAK;Fırat Mahallesi Parkı  (Yeni) 288/5 Sk;1550;;1
Park;Buca;GÖKSU;679/29 SOKAK;Göksu Mh. Parkı  (679/29 Sk.);1540;1;1
Park;Buca;HÜRRİYET;MEHMET AKİF CADDESİ;Kemal Sunal Parkı;1332;1;1
Park;Buca;MUSTAFA KEMAL;694/47 SOKAK;Mustafa Kemal  Mah Parkı  (694/47 sk);1323;1;1
Park;Buca;MUSTAFA KEMAL;686/38 SOKAK;Mustafa Kemal  Mah Parkı 2  (686/38 sk);960;1;1
Park;Buca;ADATEPE;2/17 SOKAK;Neşet Ertaş Parkı;18250;1;2
Park;Buca;EFELER;303/1 SOKAK;Ötüken Parkı;20094;1;1
Park;Buca;ŞİRİNKAPI;1060 SOKAK;Şirinkapı Parkı;7990;1;1
Park;Buca;YILDIZ;242/25 SOKAK;Yıldız Parkı (Eski);1841;;1
Park;Buca;YILDIZ;206/43 SOKAK;Yıldız Parkı (Yeni);4579;1;1
Park;Buca;İNKILAP;133 SOKAK;Şirinyer Metro İstasyonu;1900;1;1
Park;Buca;ÇAĞDAŞ;DEDE KORKUT CADDESİ;Buca Yedigöller;90000;;
Park;Buca;YILDIZ;206/40 SOKAK;Yıldız Mh.206/40 Sk Parkı;280;;
Park;Buca;ÇAMLIKULE;200/17 SOKAK;Mehmet Erenler Parkı;900;;1
Park;Gaziemir;BİNBAŞI REŞAT BEY;397/3 SOKAK NO:97;Binbaşı Reşatbey Parkı  (397/3 Sk.No: 97);2208;1;1
Park;Gaziemir;ATIFBEY;56 SOKAK NO:70;Esra Parkı  (Gaziemir Atıfbey Mh).;12990;1;1
Park;Gaziemir;ZAFER;812 SOKAK;Evka -7 Zafer Mh. Parkı;2200;;1
Park;Gaziemir;BEYAZEVLER;541 SOKAK;Gaziemir Beyazevler Parkı;20157;1;1
Park;Gaziemir;BEYAZEVLER;544 SOKAK;Gaziemir Beyazevler Parkı  (544 Sk);2640;;
Park;Gaziemir;IRMAK;703 SOKAK;Gezi Parkı (Irmak Mh. 703 Sk).;4500;;1
Park;Gaziemir;ZAFER;800 SOKAK;Gaziemir Zeytin Yaşam Korusu  (Evka  7 );40000;;
Park;Güzelbahçe;KAHRAMANDERE;514 SOKAK;Üniversiteliler Parkı;8207;;1
Park;Güzelbahçe;KAHRAMANDERE;518 SOKAK;Zümrütevler Parkı;10850;;
Park;Güzelbahçe;ATATÜRK;İSTİKBAL CADDESİ;Güzelbahçe Belediye Önü Parkı;9930;1;1
Park;Güzelbahçe;ATATÜRK;KAZIM DİRİK CADDESİ;Güzelbahçe Amfi Tiyatro;6130;;
Park;Güzelbahçe;KAHRAMANDERE;ATA CADDESİ;Güzelbahçe Tema Parkı;5000;;1
Park;Narlıdere;ILICA;IŞIL SOKAK;Çağlayan Park  (Dokuz Eylül Parkı);9816;;1
Park;Narlıdere;SAHİLEVLERİ;SARMAŞIK SOKAK;Gizli Park;6958;;1
Park;Narlıdere;SAHİLEVLERİ;GÜRLER CADDESİ;Muzaffer Eroğlu Parkı;9109;;
Sahil Bandı;Narlıdere;SAHİLEVLERİ;GÜRLER CADDESİ;Bakü Parkı 1.kısım;10364;;1
Sahil Bandı;Narlıdere;SAHİLEVLERİ;GÜRLER CADDESİ;Bakü Parkı 2.kısım;21081;;
Park;Narlıdere;SAHİLEVLERİ;GÜRLER CADDESİ;Sahilevleri İhsan Alyanak Parkı;5187;;1
Rekreasyon Alanı;Buca;ADATEPE;KIBRIS CADDESİ;Hasanağa Bahçesi;65502;1;1
Rekreasyon Alanı;Balçova;TELEFERİK;SAKARYA CADDESİ;Teleferik;35617;;
Rekreasyon Alanı;Konak;MİMAR SİNAN;ŞAİR EŞREF BULVARI;Kültürpark;264180;1;1
Kent Ormanı;Balçova;BAHÇELERARASI;HAYDAR ALİYEV BULVARI;İnciraltı Kent Ormanı;625613;1;1
Kent Ormanı;Konak;KADİFEKALE;RAKIM ERKUTLU CADDESİ;Kadifekale;420000;;
Kıyı Şeridi;Konak;;;Kordon;140622;1;1
Kıyı Şeridi;Konak;;;Mustafa Kemal Sahil Bulvarı Deniz Tarafı;46463;;
Kıyı Şeridi;Balçova;;;İnciraltı Kıyı;155257;;
Kıyı Şeridi;Güzelbahçe;;;Güzelbahçe Sahil;24493;1;
Kıyı Şeridi;Narlıdere;;;Sahil Evleri 1-2;19780;1;1
Meydan;Konak;;;Cumhuriyet Meydanı;3620;;
Meydan;Konak;;;Konak Meydanı;23074;;
Meydan;Konak;;;15 Temmuz Şehitleri Demokrası Meydanı;33000;;1
Meydan;Buca;;;Kasaplar Meydanı;6630;;
Meydan;Buca;;;Kaynaklar Meydanı;1080;;
